위도,경도,도로명
37.467145324752835,126.90450939718518,독산로70길 103-16
37.46740732330405,127.1007924178454,헌릉로571길 20
37.46746002830082,126.8999317021066,시흥대로112길 6
37.46751258545845,126.89293511676472,범안로15길 65
37.46751258545845,126.89293511676472,범안로15길 7
37.4676732795166,126.8942008817581,범안로17길 12
37.4676732795166,126.8942008817581,범안로17길 41
37.4676732795166,126.8942008817581,범안로17길 9
37.4679953,126.9625975,낙성대로15길 66
37.4683721,127.04500635,강남대로6길 126
37.4683721,127.04500635,강남대로6길 148
37.4683721,127.04500635,강남대로6길 70
37.46838343536032,126.93927983305711,대학7길 26
37.46839625,126.96901612969906,인헌길 168
37.46860791804069,127.04193582147605,강남대로8길 64
37.468639898969286,126.96611889035375,인헌16다길 14
37.46866135749872,126.89311231750813,벚꽃로18길 36
37.4687132,127.1049274,밤고개로26길 50
37.46875209288846,126.90017315548651,시흥대로120길 44
37.46875209288846,126.90017315548651,시흥대로120길 40
37.46878565671873,127.04646095244094,강남대로2길 48
37.4691841,126.96670914944444,인헌16길 33-14
37.469263840322824,126.93946173486958,대학5길 46
37.46928605,126.96555174733692,인헌16길 47
37.46934179961419,126.94208768979722,신림로3가길 7
37.46934179961419,126.94208768979722,신림로3가길 57
37.46934179961419,126.94208768979722,신림로3가길 45-24
37.46934179961419,126.94208768979722,신림로3가길 45-10
37.469379,126.9192558,난곡로 167
37.4693963,126.94484575,신림로3길 40
37.46940715,126.96653275215309,인헌16길 33-7
37.469436900000005,126.96626970005966,인헌16길 35
37.46953145102652,127.04755993621622,논현로1길 67
37.46953145102652,127.04755993621622,논현로1길 61
37.46953145102652,127.04755993621622,논현로1길 49
37.46953145102652,127.04755993621622,논현로1길 43
37.46953145102652,127.04755993621622,논현로1길 33
37.46953145102652,127.04755993621622,논현로1길 23
37.46953145102652,127.04755993621622,논현로1길 25
37.46957858247203,126.9658938911378,인헌16길 33-6
37.469601626734544,127.03869911723596,매헌로 62
37.469748409449465,126.94147960195669,신림로7길 33
37.469748409449465,126.94147960195669,신림로7길 34
37.46975355437464,126.90547107742672,독산로78다길 22
37.46975355437464,126.90547107742672,독산로78다길 52
37.46975355437464,126.90547107742672,독산로78다길 12
37.469906665999325,127.04573040727315,동산로6길 2
37.469906665999325,127.04573040727315,동산로6길 19
37.4699313,126.9386949,신림로11길 12
37.46993632524295,126.89575390455568,두산로 36
37.4701944,127.0242518,바우뫼로7길 11
37.4702094,127.0397624,강남대로12길 15
37.47027514969699,126.899237915273,시흥대로128길 19
37.47030122182847,127.0407388635401,강남대로12길 24-2
37.47030122182847,127.0407388635401,강남대로12길 19
37.470306781223535,127.04614495681945,동산로10길 19
37.47064935,126.90579875,독산로80가길 26
37.4707767,127.0908873,자곡로3길 22
37.4709326,127.1103157,밤고개로27길 20
37.4709429,127.0403344,강남대로16길 37
37.4709429,127.0403344,강남대로16길 22-13
37.47102031989902,126.9111789119262,미성10길 2
37.47102031989902,126.9111789119262,미성10길 64
37.47102031989902,126.9111789119262,미성10길 14
37.471035611231414,126.96539890929483,인헌12길 46-2
37.471035611231414,126.96539890929483,인헌12길 46-1
37.47116644345168,126.91771186413376,난곡로35길 28-7
37.47120490985086,127.08982075515392,자곡로3길 45
37.471286,127.0887172,자곡로3길 21
37.471310599999995,127.0458021,동산로12길 13-16
37.471310599999995,127.0458021,동산로12길 5-8
37.47134583995437,127.0245033572002,바우뫼로7길 51
37.47134583995437,127.0245033572002,바우뫼로7길 29
37.4714942460195,126.9295586325274,양지길 50-5
37.4714942460195,126.9295586325274,양지길 52-1
37.47155516789417,127.04671677660046,동산로14길 17
37.471854504992926,126.9726573546105,남현12길 21
37.471916261874334,126.89381420456677,두산로11길 22
37.471916470830024,126.88921491732027,두산로3길 36-11
37.47199786289934,126.8904924612484,두산로5길 58
37.4720175,126.90385795,독산로84길 45
37.4720175,126.90385795,독산로84길 43
37.47203659056264,126.92143139352876,난곡로34길 45
37.4721107322255,126.89600087760832,가산로 99
37.4721107322255,126.89600087760832,가산로 106
37.4721107322255,126.89600087760832,가산로 143
37.472171635313344,126.98026126334278,승방1길 87
37.472171635313344,126.98026126334278,승방1길 51
37.472171635313344,126.98026126334278,승방1길 46
37.472171635313344,126.98026126334278,승방1길 38
37.472171635313344,126.98026126334278,승방1길 101
37.472171635313344,126.98026126334278,승방1길 83
37.472171635313344,126.98026126334278,승방1길 66
37.47220665,127.0483526,논현로5길 7
37.472300173970474,126.89138293944308,가산로3길 77
37.472486213571635,126.90192763908888,독산로85길 7-8
37.472486213571635,126.90192763908888,독산로85길 36
37.472552945898826,126.98004875253903,승방3나길 30
37.472552945898826,126.98004875253903,승방3나길 31
37.472552945898826,126.98004875253903,승방3나길 2
37.472552945898826,126.98004875253903,승방3나길 1
37.472552945898826,126.98004875253903,승방3나길 41
37.472553215605714,126.97975344441338,승방7길 11
37.472595,127.027657,바우뫼로 53
37.47265986216077,126.97918472837316,승방3가길 1
37.47265986216077,126.97918472837316,승방3가길 16
37.47265986216077,126.97918472837316,승방3가길 22
37.47265986216077,126.97918472837316,승방3가길 31
37.47269835,126.905039,독산로88길 19
37.47269835,126.905039,독산로88길 8
37.472742499999995,126.9649658363074,낙성대역16길 29
37.472750407191405,126.9729910437882,남부순환로256나길 7
37.472750407191405,126.9729910437882,남부순환로256나길 11
37.472750407191405,126.9729910437882,남부순환로256나길 15
37.472750407191405,126.9729910437882,남부순환로256나길 21
37.472791,126.96617185720716,남부순환로248길 78
37.47279950952698,126.8925472631973,두산로9길 23
37.47279950952698,126.8925472631973,두산로9길 56
37.4728679349224,126.91729454336908,미성3길 16
37.47288990460765,126.89172884873406,두산로9가길 30
37.472904877789645,127.04668629070385,논현로11길 20
37.47296355472605,126.98117437625947,승방3길 36-17
37.47296355472605,126.98117437625947,승방3길 36-11
37.473062611654974,127.04494498379404,언남10길 27
37.473062611654974,127.04494498379404,언남10길 7
37.4730692942778,126.9008667406518,시흥대로142길 15
37.4730692942778,126.9008667406518,시흥대로142길 11
37.47309159101138,127.04240230582074,언남길 21
37.4730926,126.96568033259292,남부순환로248길 56
37.47312766943,127.1032212105658,자곡로 21
37.473182418077855,126.97922851708422,승방길 66
37.473182418077855,126.97922851708422,승방길 90-1
37.47322010848352,126.91454889210527,미성5길 33
37.47322010848352,126.91454889210527,미성5길 40
37.47328327693893,126.88759066270764,벚꽃로24길 13
37.47328327693893,126.88759066270764,벚꽃로24길 7
37.4733439,126.9050074,독산로90길 18
37.47339188442993,127.05225063319288,논현로4길 28
37.47339188442993,127.05225063319288,논현로4길 50
37.47343248191395,127.05310422514012,논현로2길 36
37.47343248191395,127.05310422514012,논현로2길 38
37.47343248191395,127.05310422514012,논현로2길 50
37.47343248191395,127.05310422514012,논현로2길 61-4
37.47343248191395,127.05310422514012,논현로2길 22
37.47343248191395,127.05310422514012,논현로2길 34
37.47344789179933,126.98422981404278,방배선행길 1
37.47344789179933,126.98422981404278,방배선행길 2
37.47349046268965,127.11269732687045,밤고개로21길 25
37.47349046268965,127.11269732687045,밤고개로21길 56
37.47352916754788,126.9009073789722,시흥대로144길 16
37.47352916754788,126.9009073789722,시흥대로144길 12
37.47357930983016,126.97593259887546,남현길 96
37.47357930983016,126.97593259887546,남현길 91
37.47357930983016,126.97593259887546,남현길 144
37.47357930983016,126.97593259887546,남현길 141
37.47357930983016,126.97593259887546,남현길 113
37.473589042298094,126.97757393460157,남현7길 3
37.473589042298094,126.97757393460157,남현7길 20
37.47369295,126.8942994,가산로5길 14
37.47379376105844,126.9529957783168,관악로 115
37.47379376105844,126.9529957783168,관악로 133
37.47379376105844,126.9529957783168,관악로 103-3
37.47379376105844,126.9529957783168,관악로 242-11
37.47385022498794,126.9046748807319,독산로92길 30
37.47385022498794,126.9046748807319,독산로92길 20
37.47385022498794,126.9046748807319,독산로92길 17
37.473903084713115,127.04593704151942,언남16길 2
37.473908317994166,126.93351760594317,신림로 194
37.473908317994166,126.93351760594317,신림로 175
37.473908317994166,126.93351760594317,신림로 185
37.473961764386026,126.9731045416232,남부순환로256길 12
37.473961764386026,126.9731045416232,남부순환로256길 36
37.473961764386026,126.9731045416232,남부순환로256길 16
37.47398151554941,127.03331597719934,바우뫼로18길 20
37.4741362,127.0941161,자곡로 101
37.474148634949906,126.91445380453334,미성7길 5-6
37.4741526,126.96868622998612,인헌3길 31
37.4741611,127.102641,자곡로 175
37.47435175,127.0547847,논현로2길 62
37.4743685,126.9159399,미성길 15
37.47443095,126.96886919109448,인헌1길 34
37.47454505,126.98063285,승방4길 10
37.47454505,126.98063285,승방4길 2
37.47454505,126.98063285,승방4길 6
37.47456,126.980837,승방4길 20
37.474597,127.1432345,위례광장로 290
37.474637577881175,126.92359037458768,법원단지24길 34
37.47473814520138,126.9777288492169,남현1가길 43
37.47473814520138,126.9777288492169,남현1가길 42-3
37.47474793856895,126.91499890764624,미성길 122
37.47474793856895,126.91499890764624,미성길 59
37.47478325,126.97033331754156,인헌1길 59
37.47478615,126.95947925095636,낙성대로 37
37.47480288215229,126.99439286524766,남부순환로297길 44
37.474873,126.9775983,남현1가길 22
37.474900361485695,126.93936081312062,복은길 129-13
37.47500410000001,126.97041804241692,인헌1길 55-11
37.4750397,127.14116,위례광장로 120
37.475054,126.9904987,남부순환로 2183
37.4751021,126.9324828,신림로29길 8
37.4751349,126.9531335,관악로 110
37.4751552033192,126.95186057661924,관악로5길 42
37.475159591528275,126.89189347174649,가산로7길 107
37.47520193965297,126.97314076475962,남부순환로260길 77
37.47520193965297,126.97314076475962,남부순환로260길 91
37.47520193965297,126.97314076475962,남부순환로260길 64
37.47520193965297,126.97314076475962,남부순환로260길 119
37.47520193965297,126.97314076475962,남부순환로260길 48
37.47520193965297,126.97314076475962,남부순환로260길 30
37.47523546812435,126.9909023455032,효령로2길 132
37.47523546812435,126.9909023455032,효령로2길 97
37.47523546812435,126.9909023455032,효령로2길 101
37.47523546812435,126.9909023455032,효령로2길 81
37.47523546812435,126.9909023455032,효령로2길 109
37.47523546812435,126.9909023455032,효령로2길 73
37.47523546812435,126.9909023455032,효령로2길 30
37.47523546812435,126.9909023455032,효령로2길 87
37.47526859316723,126.97509790430496,남부순환로262길 37
37.47529855187788,127.03419173398368,바우뫼로 33
37.47529855187788,127.03419173398368,바우뫼로 103
37.47533290882275,127.03622385767684,양재천로11길 5
37.47540729965584,126.8958634139064,시흥대로149길 39
37.47544679376137,126.91342766529732,문성로16나길 25
37.4754468,126.89917270455246,시흥대로150길 6
37.4755022804172,126.928885547707,문성로38라길 7
37.475548,126.90946447250236,문성로 15
37.47556621828772,126.97484606479496,남현2길 66
37.47572282483933,126.95419108151988,관악로8길 49
37.47575831156231,126.89671130429716,시흥대로151길 23
37.47575831156231,126.89671130429716,시흥대로151길 45
37.4757622,126.9940625,남부순환로297다길 18
37.4757622,126.9940625,남부순환로297다길 17
37.47591798726089,126.98561836085958,남부순환로 2311-12
37.47591798726089,126.98561836085958,남부순환로 2271-11
37.47591798726089,126.98561836085958,남부순환로 2343-10
37.47591798726089,126.98561836085958,남부순환로 2341
37.4759226,126.9726564,남부순환로 2005
37.47600525,126.97798014433197,남현1길 9
37.4760088,127.1417158,위례광장로 136
37.47600902380049,127.03724894310112,양재천로17길 11
37.47601252712653,126.9674697581864,남부순환로249길 21
37.47601252712653,126.9674697581864,남부순환로249길 5-6
37.47601252712653,126.9674697581864,남부순환로249길 15
37.47601252712653,126.9674697581864,남부순환로249길 5-14
37.47601252712653,126.9674697581864,남부순환로249길 5-10
37.47601252712653,126.9674697581864,남부순환로249길 13-12
37.47603920976159,126.90106012901948,시흥대로150길 21-58
37.4760511,126.9941675,남부순환로297라길 9
37.47606055,126.98889555,남부순환로289길 16
37.47611968296931,126.99348034102825,남부순환로297나길 8
37.47611968296931,126.99348034102825,남부순환로297나길 13
37.4761517,126.9520785,관악로 125
37.4762275204223,126.8164075042119,부광로 96-16
37.4762899207198,127.14133080600826,위례광장로 270
37.47632469018943,126.94157059001708,참숯5길 7
37.4763277,126.97851610056624,남부순환로 2068
37.47633472114396,126.93603661936422,신림로31가길 19
37.4763808049523,127.0027770833717,방배로2길 24-5
37.4763808049523,127.0027770833717,방배로2길 24-6
37.47641678115193,126.96498249264684,남부순환로 1448
37.47641678115193,126.96498249264684,남부순환로 1961-1
37.47641678115193,126.96498249264684,남부순환로 1446
37.47641678115193,126.96498249264684,남부순환로 1990-3
37.47641678115193,126.96498249264684,남부순환로 1990
37.47641678115193,126.96498249264684,남부순환로 1963
37.47641678115193,126.96498249264684,남부순환로 1979
37.47641678115193,126.96498249264684,남부순환로 1987
37.47643661678002,126.95337407535588,관악로6길 21
37.47643661678002,126.95337407535588,관악로6길 15
37.47643661678002,126.95337407535588,관악로6길 54
37.47643661678002,126.95337407535588,관악로6길 76
37.47643661678002,126.95337407535588,관악로6길 8
37.47643661678002,126.95337407535588,관악로6길 82
37.47643661678002,126.95337407535588,관악로6길 86
37.47643661678002,126.95337407535588,관악로6길 99
37.47646215,126.96217742850834,낙성대역길 19
37.4764747,126.90771305,문성로 39
37.4764747,126.90771305,문성로 29
37.4764747,126.90771305,문성로 27
37.4764747,126.90771305,문성로 8
37.4764747,126.90771305,문성로 14-1
37.4764747,126.90771305,문성로 14
37.4764747,126.90771305,문성로 10
37.4764747,126.90771305,문성로 18
37.4764747,126.90771305,문성로 4
37.4765851189823,126.98773127307769,남부순환로287길 7
37.47661015,127.05662335,언주로 3
37.4766244,127.0294869,바우뫼로 91
37.47666865945564,126.89062467657688,가산로9길 12-8
37.47667012072497,126.987761088031,효령로4길 10
37.47667012072497,126.987761088031,효령로4길 56-29
37.47667012072497,126.987761088031,효령로4길 13
37.4766964,126.978191,남부순환로 2009
37.476711111854605,126.91461254155604,난곡로47길 9
37.47682645,126.9558850229873,관악로12길 16
37.47686509535249,126.8844249157132,디지털로 207
37.47686509535249,126.8844249157132,디지털로 209
37.476874096833136,126.8903676419425,디지털로12길 15
37.476874096833136,126.8903676419425,디지털로12길 37
37.4768787,127.1351626,위례순환로 477
37.47691153868038,126.98431249132793,방배천로2길 29-7
37.47691740481961,126.9162967901841,난곡로48길 20-5
37.47691740481961,126.9162967901841,난곡로48길 20-7
37.47692635,126.95619975311776,남부순환로234길 58
37.47693148381449,126.88884287338117,디지털로10길 55
37.476968549999995,126.9613198982143,봉천로 576
37.4770021,126.9705262,남부순환로255길 19-1
37.4770021,126.9705262,남부순환로255길 17
37.4770021,126.9705262,남부순환로255길 21
37.4770795725672,126.94226872456208,청룡16길 43
37.47708119777407,126.93024255561524,문성로38길 69-7
37.4770871,127.1078496,자곡로11길 11
37.4771403,127.1129392,자곡로 260
37.4771592,126.9716308,남부순환로255나길 18
37.4771592,126.9716308,남부순환로255나길 8
37.47717,126.95630088369232,남부순환로234길 52
37.4771786,126.9081141515271,문성로3길 70
37.4771992437316,126.90712607801116,문성로3길 41
37.4771992437316,126.90712607801116,문성로3길 64
37.4771992437316,126.90712607801116,문성로3길 8
37.4771992437316,126.90712607801116,문성로3길 43
37.4771992437316,126.90712607801116,문성로3길 47
37.4772555,126.9800003,동작대로1길 45-1
37.47740388204872,126.95510408055952,남부순환로230길 111
37.47740388204872,126.95510408055952,남부순환로230길 117
37.47740388204872,126.95510408055952,남부순환로230길 94
37.47740388204872,126.95510408055952,남부순환로230길 93
37.47743227980732,126.82260954063598,항동로 8
37.47743227980732,126.82260954063598,항동로 60
37.47743227980732,126.82260954063598,항동로 72
37.47743227980732,126.82260954063598,항동로 68
37.47743227980732,126.82260954063598,항동로 43
37.477469150000005,126.89243395,남부순환로108길 23-10
37.47771245,126.95649605,남부순환로234길 42
37.477736699999994,126.98222323583757,방배천로 11
37.47774015,126.9987580785374,방배로3길 10-3
37.47776197024519,126.96282122012433,솔밭로 24
37.477772906636375,126.95451543295208,남부순환로228길 87
37.477772906636375,126.95451543295208,남부순환로228길 85
37.47781197448748,126.9044308123868,문성로1길 7
37.47781327090478,126.8930046776946,남부순환로108길 23-14
37.477835031100504,126.93891618620916,쑥고개로 31
37.477835031100504,126.93891618620916,쑥고개로 33
37.4779026,126.9418513,참숯1길 19
37.47791472620944,126.90006165901428,시흥대로152길 25
37.477935334408585,126.98353084438445,방배천로4길 36
37.47795220341643,126.8427089330812,금오로 882
37.47795387205015,126.98623940928675,효령로5길 9
37.4779813662937,126.91752444018752,문성로 74
37.4779813662937,126.91752444018752,문성로 86
37.47803085650106,126.99872091965165,방배로5길 33
37.4780416,126.9776717,사당로26길 130-6
37.47804816568962,126.90112320888385,남부순환로120길 23
37.47804816568962,126.90112320888385,남부순환로120길 22
37.47804816568962,126.90112320888385,남부순환로120길 17
37.478151130917546,126.96597413148513,남부순환로247길 99
37.4781659,126.9134173,남부순환로144길 71
37.4782149,126.9750302,남부순환로257가길 8
37.47824988265396,127.04068902982722,양재천로23길 16
37.47838154037576,127.13093548046662,송파대로8길 20
37.47838154037576,127.13093548046662,송파대로8길 17
37.47838154037576,127.13093548046662,송파대로8길 42
37.47838154037576,127.13093548046662,송파대로8길 10
37.47838154037576,127.13093548046662,송파대로8길 58
37.4783867,127.1434008,위례광장로 230
37.47839285,126.89051861329143,가산로 147
37.4784666,127.0553643,언주로7길 6
37.478509,127.0615677,선릉로 7
37.4785738,127.142863,위례광장로 170
37.4786101,126.9759734,남부순환로269길 8
37.4786426,127.05391,개포로 264
37.47869377780496,127.00452122352404,명달로1길 51
37.47869961789312,126.95738247617447,봉천로 387
37.4789103,127.1077356,자곡로11길 28
37.478916598704274,127.0448375186125,개포로15길 32-8
37.47896661794801,126.94406846315536,청룡10길 45
37.47896661794801,126.94406846315536,청룡10길 46
37.47896685,126.94759781023538,쑥고개로 100
37.47900625,127.04162091249086,논현로27길 57
37.479017221322096,126.99998182739355,방배로6길 10-3
37.479052028309845,127.00070762434343,효령로34길 92
37.479052028309845,127.00070762434343,효령로34길 25
37.479052028309845,127.00070762434343,효령로34길 39
37.479052028309845,127.00070762434343,효령로34길 48
37.479052028309845,127.00070762434343,효령로34길 79
37.479052028309845,127.00070762434343,효령로34길 17
37.479062844880595,127.03609350358865,강남대로27길 7-14
37.4790678,126.9751829,남부순환로265길 108
37.4791699,126.95033599870334,쑥고개로 123
